시세(하한),시세(상한),시세,건설업체,지하철,건축년도,평수,연령,지하철1개 노선,지하철 2개노선,대기업더미,단지규모
29000,33000,31000,GN,0,1984,32,16,0,0,0,678
24000,28000,26000,HD,1,1984,31,16,1,0,1,416
45000,50000,47500,HD,1,1984,46,16,1,0,1,416
55000,63000,59000,HD,1,1984,58,16,1,0,1,416
29000,33000,31000,HD,1,1985,32,15,1,0,1,558
52000,60000,56000,HD,1,1985,48,15,1,0,1,558
52000,60000,56000,HD,1,1985,49,15,1,0,1,558
60000,70000,65000,HD,1,1985,59,15,1,0,1,558
23000,28000,25500,WS,1,1985,34,15,1,0,0,405
45000,53000,49000,WS,1,1985,47,15,1,0,0,405
55000,63000,59000,WS,1,1985,56,15,1,0,0,405
28000,32000,30000,HD,1,1986,32,14,1,0,1,198
63000,72000,67500,HD,1,1986,59,14,1,0,1,198
55000,60000,57500,HD,1,1986,48,14,1,0,1,198
16000,17000,16500,HPC,1,1983,23,17,1,0,0,2900
18000,19500,18750,HPC,1,1983,25,17,1,0,0,2900
24000,25000,24500,HPC,1,1983,31,17,1,0,0,2900
27000,30000,28500,HPC,1,1983,34,17,1,0,0,2900
16000,17000,16500,HPC,1,1983,23,17,1,0,0,1024
18000,19500,18750,HPC,1,1983,25,17,1,0,0,1024
24000,25000,24500,HPC,1,1983,31,17,1,0,0,1024
27000,30000,28500,HPC,1,1983,34,17,1,0,0,1024
16800,17800,17300,WS,0,1989,19,11,0,0,0,270
22000,23000,22500,WS,0,1989,23,11,0,0,0,270
27000,29000,28000,WS,0,1989,27,11,0,0,0,270
15000,17000,16000,HPC,1,1983,23,17,1,0,0,900
17000,19500,18250,HPC,1,1983,25,17,1,0,0,900
23500,25500,24500,HPC,1,1983,31,17,1,0,0,900
27000,29500,28250,HPC,1,1983,34,17,1,0,0,900
22000,26000,24000,WS,1,1987,31,13,1,0,0,261
23000,26500,24750,WS,1,1987,34,13,1,0,0,261
27000,30000,28500,WS,2,1991,32,9,0,1,0,232
45000,50000,47500,GN,0,1984,45,16,0,0,0,678
45000,50000,47500,GN,0,1984,48,16,0,0,0,678
53000,60000,56500,GN,0,1984,56,16,0,0,0,678
60000,68000,64000,GN,0,1984,59,16,0,0,0,678
